artist,track,listeners,playcount
The Weeknd,Blinding Lights,2294232,37539630
The Weeknd,Starboy,2270949,32347688
The Weeknd,The Hills,2061562,26638531
The Weeknd,Die for You,1933782,32637405
The Weeknd,Can't Feel My Face,1807365,18089620
The Weeknd,Save Your Tears,1803090,26535132
The Weeknd,Stargirl Interlude,1760686,36106638
The Weeknd,Call Out My Name,1534041,20362852
The Weeknd,I Feel It Coming,1405513,15326401
The Weeknd,"One of the Girls (with JENNIE, Lily Rose Depp)",1389903,26074830
The Weeknd,Heartless,1239277,19693537
The Weeknd,Often,1193117,13640693
The Weeknd,Is There Someone Else?,1192541,20436770
The Weeknd,After Hours,1174322,19103956
The Weeknd,Reminder,1092148,15926149
The Weeknd,Party Monster,1026118,13279623
The Weeknd,In Your Eyes,1023304,13202390
The Weeknd,Timeless (Feat Playboi Carti),1020296,12544862
The Weeknd,Earned It (Fifty Shades of Grey),989709,8741063
The Weeknd,Out of Time,967963,15871031
Kendrick Lamar,HUMBLE.,2216285,30338072
Kendrick Lamar,Money Trees,2056184,33839099
Kendrick Lamar,Not Like Us,1876901,29036336
Kendrick Lamar,All the Stars (with SZA),1843486,26468175
Kendrick Lamar,Alright,1828835,30366032
Kendrick Lamar,PRIDE.,1762319,31931958
Kendrick Lamar,DNA.,1688188,23869175
Kendrick Lamar,LOVE. FEAT. ZACARI.,1652011,24638111
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",1491855,18190651
Kendrick Lamar,luther (with SZA),1467434,26232689
Kendrick Lamar,Swimming Pools (Drank),1420678,13921292
Kendrick Lamar,King Kunta,1384582,19019742
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,1261423,15098854
Kendrick Lamar,N95,1226485,19537339
Kendrick Lamar,tv off (feat. Lefty Gunplay),1206139,16205287
Kendrick Lamar,United in Grief,1181191,13910063
Kendrick Lamar,m.A.A.d city,1166159,14426485
Kendrick Lamar,Poetic Justice,1161068,12467452
Kendrick Lamar,Backseat Freestyle,1160014,13428813
Kendrick Lamar,squabble up,1138225,14144291
Taylor Swift,Blank Space,1773195,27401766
Taylor Swift,Cruel Summer,1652749,48176598
Taylor Swift,Shake It Off,1582604,18413054
Taylor Swift,Style,1527761,32600701
Taylor Swift,cardigan,1510498,43926886
Taylor Swift,Love Story,1465923,14122623
Taylor Swift,You Belong with Me,1392903,13399489
Taylor Swift,august,1346373,42011374
Taylor Swift,Anti-Hero,1328840,33972542
Taylor Swift,Lover,1316858,26953916
Taylor Swift,Don’t Blame Me,1231182,26199700
Taylor Swift,Look What You Made Me Do,1213279,22796044
Taylor Swift,Wildest Dreams,1198818,15235639
Taylor Swift,We Are Never Ever Getting Back Together,1187841,11484938
Taylor Swift,I Knew You Were Trouble.,1161798,10494339
Taylor Swift,Bad Blood,1149780,13954305
Taylor Swift,Wildest Dreams (Taylor's Version),1110628,23455292
Taylor Swift,Delicate,1079846,25882866
Taylor Swift,You Belong with Me (Taylor’s Version),1062533,18066721
Taylor Swift,exile (feat. Bon Iver),1053462,25510157
Radiohead,Creep,3976621,57414024
Radiohead,No Surprises,3288612,52880951
Radiohead,Karma Police,3228736,41420109
Radiohead,High and Dry,2451727,28024715
Radiohead,Paranoid Android,2428455,27018609
Radiohead,Let Down,2415658,37677847
Radiohead,All I Need,2383888,39169111
Radiohead,Fake Plastic Trees,2360228,31815335
Radiohead,Exit Music (for a Film),2292735,29647199
Radiohead,Jigsaw Falling Into Place,2269847,39265348
Radiohead,Just,2034748,25185800
Radiohead,Everything in Its Right Place,1977356,21717451
Radiohead,Nude,1965104,28595175
Radiohead,Airbag,1749698,14296823
Radiohead,How to Disappear Completely,1731208,21640669
Radiohead,15 Step,1721330,19644191
Radiohead,Subterranean Homesick Alien,1705827,14461463
Radiohead,House of Cards,1701275,17909362
Radiohead,Bodysnatchers,1679900,18688600
Radiohead,Reckoner,1674098,19853028
Kanye West,Stronger,2832061,27200146
Kanye West,Heartless,2792110,33069340
Kanye West,Flashing Lights,2120324,35095677
Kanye West,I Wonder,1946514,31024592
Kanye West,Can't Tell Me Nothing,1907195,18850861
Kanye West,Bound 2,1858129,29332247
Kanye West,Gold Digger,1849189,16578583
Kanye West,All of the Lights,1808994,21028819
Kanye West,POWER,1713119,20837211
Kanye West,Father Stretch My Hands Pt. 1,1670964,34869633
