name,listeners
Pritam,16259
The Weeknd,14919
Vishal-Shekhar,11713
A.R. Rahman,11028
Kendrick Lamar,11020
Don Toliver,10895
Drake,10695
Taylor Swift,10364
BTS,10290
Kanye West,9709
Justin Bieber,9230
Tame Impala,8969
Arijit Singh,8766
Joji,8646
Coldplay,8620
A$AP Rocky,8376
Billie Eilish,8264
Lana Del Rey,8053
Travis Scott,8048
Sachin-Jigar,7904
Radiohead,7871
Arctic Monkeys,7820
Shashwat Sachdev,7811
Ariana Grande,7766
Jung Kook,7446
The Neighbourhood,7384
The Marías,7354
Atif Aslam,7265
Charlie Puth,7040
j-hope,6829
Amit Trivedi,6780
Sabrina Carpenter,6644
Doja Cat,6607
Cigarettes After Sex,6602
Frank Ocean,6531
Karan Aujla,6522
EsDeeKid,6511
Future,6453
Metro Boomin,6397
Djo,6376
"Tyler, The Creator",6295
Agust D,6133
Jimin,6066
V,6054
Playboi Carti,6034
Shankar-Ehsaan-Loy,5986
Jin,5888
RM,5871
sombr,5866
Aditya Rikhari,5863
J. Cole,5559
Harry Styles,5552
Bruno Mars,5322
Ed Sheeran,5206
Yo Yo Honey Singh,5204
One Direction,5198
TV Girl,5187
Lady Gaga,5166
Post Malone,5053
Lil Uzi Vert,4988
The Smiths,4841
Anirudh Ravichander,4756
Linkin Park,4723
Mohit Chauhan,4706
Eminem,4677
Charli xcx,4641
The Kid LAROI,4639
Tate McRae,4626
Maroon 5,4626
Rihanna,4494
Mitski,4431
The Chainsmokers,4420
KATSEYE,4402
AP Dhillon,4397
Sufr,4330
SZA,4287
Anuv Jain,4274
Salim–Sulaiman,4157
Shawn Mendes,4143
PinkPantheress,4140
Childish Gambino,4130
Tory Lanez,4101
Seedhe Maut,4087
Gorillaz,4051
The Strokes,4035
PARTYNEXTDOOR,4030
Olivia Rodrigo,4021
The 1975,3968
Mac DeMarco,3934
Zara Larsson,3923
Laufey,3908
Shankar Mahadevan,3904
Mithoon,3895
Katy Perry,3862
Chase Atlantic,3822
Conan Gray,3812
Daniel Caesar,3807
She & Him,3776
LE SSERAFIM,3766
Bad Bunny,3737
Michael Jackson,3708
JVKE,3690
Benny Dayal,3637
Clairo,3609
DJ Snake,3609
Pink Floyd,3581
Talwiinder,3579
Dua Lipa,3573
Steve Lacy,3548
21 Savage,3523
Halsey,3484
Jennie,3478
The Beatles,3472
Yeat,3441
Zayn,3435
Diljit Dosanjh,3431
Selena Gomez,3358
Gracie Abrams,3352
Olivia Dean,3350
Lata Mangeshkar,3338
Juice WRLD,3253
Kali Uchis,3249
Lauv,3222
Addison Rae,3192
Mac Miller,3184
Kishore Kumar,3167
ABBA,3167
Sonu Nigam,3166
Malcolm Todd,3136
Asha Bhosle,3103
The Police,3101
Gunna,3099
Fleetwood Mac,3081
Sufjan Stevens,3073
Gigi Perez,3049
Rahat Fateh Ali Khan,3030
Nirvana,3020
beabadoobee,3008
Arpit Bala,3004
Ravyn Lenae,3001
Britney Spears,2979
Queen,2968
Baby Keem,2960
Calvin Harris,2956
Badshah,2956
Tyla,2949
JAY-Z,2921
RAYE,2918
Chappell Roan,2909
XXXTENTACION,2889
d4vd,2880
Fred again..,2871
Vishal Mishra,2863
Twenty One Pilots,2819
Prateek Kuhad,2791
Daft Punk,2765
Deftones,2759
¥$,2759
Troye Sivan,2754
KK,2749
Hozier,2748
Imagine Dragons,2736
Sade,2709
Chaar Diwaari,2689
Shreya Ghoshal,2685
Shubh,2682
Dominic Fike,2678
ENHYPEN,2668
Armaan Malik,2639
Sai Abhyankkar,2631
Guru Randhawa,2628
Jeff Buckley,2610
Green Day,2592
Lil Tecca,2556
Lil Wayne,2545
Beach House,2539
Camila Cabello,2505
Chris Brown,2499
Sona Mohapatra,2484
Kushagra,2478
TWICE,2477
Tanishk Bagchi,2470
Hotel Ugly,2428
Roop Kumar Rathod,2426
Lorde,2421
Lord Huron,2398
The Goo Goo Dolls,2353
Amaal Mallik,2339
Madison Beer,2338
Paresh Pahuja,2336
OneRepublic,2329
Nanku,2320
Ankit Tiwari,2319
Paramore,2318
5 Seconds of Summer,2314
Harris Jayaraj,2312
Brent Faiyaz,2311
Udit Narayan,2287
NewJeans,2284
The Walters,2283
Sohail Sen,2273
Swedish House Mafia,2265
Jawad Ahmad,2259
girl in red,2255
Himesh Reshammiya,2252
Stephen Sanchez,2246
Adele,2244
David Guetta,2234
