artist,track,playcount
The Weeknd,Blinding Lights,37539630
The Weeknd,Starboy,32347688
The Weeknd,The Hills,26638531
The Weeknd,Die for You,32637405
The Weeknd,Can't Feel My Face,18089620
The Weeknd,Save Your Tears,26535132
The Weeknd,Stargirl Interlude,36106638
The Weeknd,Call Out My Name,20362852
The Weeknd,I Feel It Coming,15326401
The Weeknd,"One of the Girls (with JENNIE, Lily Rose Depp)",26074830
The Weeknd,Heartless,19693537
The Weeknd,Often,13640693
The Weeknd,Is There Someone Else?,20436770
The Weeknd,After Hours,19103956
The Weeknd,Reminder,15926149
The Weeknd,Party Monster,13279623
The Weeknd,In Your Eyes,13202390
The Weeknd,Timeless (Feat Playboi Carti),12544862
The Weeknd,Earned It (Fifty Shades of Grey),8741063
The Weeknd,Out of Time,15871031
The Weeknd,Wicked Games,11319103
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,6563071
The Weeknd,House of Balloons / Glass Table Girls,11918500
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),11619053
The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),8179178
The Weeknd,The Morning,10822995
The Weeknd,Take My Breath,10710032
The Weeknd,Sacrifice,10747377
The Weeknd,Die for You - Remix,7221497
The Weeknd,Die for You (with Ariana Grande) - Remix,5778733
The Weeknd,Coming Down,10586261
The Weeknd,High for This,6885743
The Weeknd,In the Night,7759223
The Weeknd,Timeless (with Playboi Carti),11757502
The Weeknd,São Paulo (feat. Anitta),11939500
The Weeknd,"Earned It (Fifty Shades of Grey) - From the ""Fifty Shades of Grey"" Soundtrack",4409578
The Weeknd,What You Need,7645917
The Weeknd,Pray For Me,5536713
The Weeknd,Less Than Zero,12283234
The Weeknd,Sidewalks,7326117
The Weeknd,The Party & the After Party,8324057
The Weeknd,Acquainted,6652368
The Weeknd,Gasoline,8187239
The Weeknd,Pray for Me (with Kendrick Lamar),5581305
The Weeknd,Cry For Me,7475883
The Weeknd,False Alarm,5722544
The Weeknd,Alone Again,7166457
The Weeknd,How Do I Make You Love Me?,7544828
The Weeknd,Secrets,6237692
The Weeknd,Hardest to Love,7054071
Kendrick Lamar,HUMBLE.,30338072
Kendrick Lamar,Money Trees,33839099
Kendrick Lamar,Not Like Us,29036336
Kendrick Lamar,All the Stars (with SZA),26468175
Kendrick Lamar,Alright,30366032
Kendrick Lamar,PRIDE.,31931958
Kendrick Lamar,DNA.,23869175
Kendrick Lamar,LOVE. FEAT. ZACARI.,24638111
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",18190651
Kendrick Lamar,luther (with SZA),26232689
Kendrick Lamar,Swimming Pools (Drank),13921292
Kendrick Lamar,King Kunta,19019742
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,15098854
Kendrick Lamar,N95,19537339
Kendrick Lamar,tv off (feat. Lefty Gunplay),16205287
Kendrick Lamar,United in Grief,13910063
Kendrick Lamar,m.A.A.d city,14426485
Kendrick Lamar,Poetic Justice,12467452
Kendrick Lamar,Backseat Freestyle,13428813
Kendrick Lamar,squabble up,14144291
Kendrick Lamar,A.D.H.D,12827868
Kendrick Lamar,Wesley's Theory,14655285
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,10642256
Kendrick Lamar,euphoria,15034531
Kendrick Lamar,i,11876337
Kendrick Lamar,ELEMENT.,12094654
Kendrick Lamar,Die Hard,15309745
Kendrick Lamar,DUCKWORTH.,13328065
Kendrick Lamar,Count Me Out,14956659
